Контур;Префикс номера;Номер;Старый X;Старый Y;Новый X;Новый Y;Метод определения;Формула;Радиус;Погрешность;Описание закрепления
;;;;;;;;;;;
[1];;1;485697,73;4234637,98;л;л;;;;;
[1];;2;485681,04;4234664,79;л;л;;;;;
[1];;3;485658,99;4234661,81;л;л;;;;;
[1];;4;485651,25;4234637,98;л;л;;;;;
[1];;5;485655,42;4234615,35;л;л;;;;;
[1];;6;485692,96;4234624,88;л;л;;;;;
[1];;1;485697,73;4234637,98;л;л;;;;;
;;;;;;;;;;;
[2];;7;486012,13;4236630,13;л;л;;;;;
[2];;8;486011,51;4236645,6;л;л;;;;;
[2];;9;485984,29;4236659,84;л;л;;;;;
[2];;10;485985,1;4236635,69;л;л;;;;;
[2];;11;485934,78;4236643,13;л;л;;;;;
[2];;12;485847,52;4236664,8;л;л;;;;;
[2];;13;485813,88;4236688,8;л;л;;;;;
[2];;14;485788,74;4236695,12;л;л;;;;;
[2];;15;485782,02;4236685,4;л;л;;;;;
[2];;16;485793,29;4236683,89;л;л;;;;;
[2];;17;485816,64;4236671,51;л;л;;;;;
[2];;18;485835,21;4236654,8;л;л;;;;;
[2];;19;485855,23;4236634,78;л;л;;;;;
[2];;20;485874,13;4236644,99;л;л;;;;;
[2];;21;485915,59;4236627,66;л;л;;;;;
[2];;22;485933,54;4236633,85;л;л;;;;;
[2];;23;485995,7;4236619,15;л;л;;;;;
[2];;7;486012,13;4236630,13;л;л;;;;;
;;;;;;;;;;;
[3];;24;486111,14;4236573,18;л;л;;;;;
[3];;25;486113,62;4236583,09;л;л;;;;;
[3];;26;486087,63;4236587,42;л;л;;;;;
[3];;27;486045;4236614,52;л;л;;;;;
[3];;28;486028,22;4236596,7;л;л;;;;;
[3];;29;486042,45;4236567,61;л;л;;;;;
[3];;30;486051,12;4236557,71;л;л;;;;;
[3];;31;486068,44;4236555,24;л;л;;;;;
[3];;24;486111,14;4236573,18;л;л;;;;;
;;;;;;;;;;;
[4];;484;484976,73;4234430,42;484976,73;4234430,42;;;;;
[4];;485;484964,22;4234497,72;484964,22;4234497,72;;;;;
[4];;486;484968,39;4234519,17;484968,39;4234519,17;;;;;
[4];;487;484958,26;4234540,61;484958,26;4234540,61;;;;;
[4];;488;484985,66;4234619,23;484985,66;4234619,23;;;;;
[4];;489;485039,87;4234707,38;485039,87;4234707,38;;;;;
[4];;490;485046,42;4234727,05;485046,42;4234727,05;;;;;
[4];;491;485031,53;4234736,58;485031,53;4234736,58;;;;;
[4];;492;484998,77;4234734,2;484998,77;4234734,2;;;;;
[4];;493;484959,45;4234724,66;484959,45;4234724,66;;;;;
[4];;494;484936,22;4234728,24;484936,22;4234728,24;;;;;
[4];;495;484895,12;4234709,17;484895,12;4234709,17;;;;;
[4];;496;484854,01;4234708,58;484854,01;4234708,58;;;;;
[4];;497;484815,3;4234713,94;484815,3;4234713,94;;;;;
[4];;498;484787,89;4234733,6;484787,89;4234733,6;;;;;
[4];;499;484764,07;4234758,61;484764,07;4234758,61;;;;;
[4];;500;484759,9;4234797,92;484759,9;4234797,92;;;;;
[4];;501;484742,03;4234805,07;484742,03;4234805,07;;;;;
[4];;502;484705,65;4234797,8;484705,65;4234797,8;;;;;
[4];н;1;-;-;484706,55;4234804,49;;;;;
[4];н;2;-;-;484719,33;4234828,68;;;;;
[4];н;3;-;-;484717,1;4234832;;;;;
[4];н;4;-;-;484684,24;4234845,58;;;;;
[4];н;5;-;-;484649,51;4234835,38;;;;;
[4];н;6;-;-;484600,16;4234827,83;;;;;
[4];н;7;-;-;484600,25;4234824,73;;;;;
[4];н;8;-;-;484596,68;4234805,67;;;;;
[4];н;9;-;-;484608,59;4234791,97;;;;;
[4];н;10;-;-;484630,63;4234781,25;;;;;
[4];н;11;-;-;484575,23;4234741,34;;;;;
[4];н;12;-;-;484567,49;4234724,66;;;;;
[4];н;13;-;-;484576,42;4234678,21;;;;;
[4];н;14;-;-;484563,95;4234645,81;;;;;
[4];н;15;-;-;484534,73;4234662,13;;;;;
[4];н;16;-;-;484524;4234660,34;;;;;
[4];н;17;-;-;484518,05;4234641,28;;;;;
[4];н;18;-;-;484519,24;4234616,26;;;;;
[4];н;19;-;-;484547,83;4234583,51;;;;;
[4];н;20;-;-;484541,88;4234568,02;;;;;
[4];н;21;-;-;484516,26;4234541,22;;;;;
[4];н;22;-;-;484544,91;4234505,12;;;;;
[4];н;23;-;-;484544,57;4234504,2;;;;;
[4];н;24;-;-;484513,88;4234455,45;;;;;
[4];н;25;-;-;484513,88;4234436,39;;;;;
[4];н;26;-;-;484492,45;4234410,86;;;;;
[4];н;27;-;-;484488,85;4234383,97;;;;;
[4];н;28;-;-;484513,88;4234392,31;;;;;
[4];н;29;-;-;484560,34;4234398,27;;;;;
[4];н;30;-;-;484537,71;4234413,76;;;;;
[4];н;31;-;-;484521,03;4234443,53;;;;;
[4];н;32;-;-;484556,3;4234476,88;;;;;
[4];н;33;-;-;484556,31;4234476,88;;;;;
[4];н;34;-;-;484593,3;4234444,55;;;;;
[4];н;35;-;-;484569,83;4234421,34;;;;;
[4];н;36;-;-;484571,29;4234397,7;;;;;
[4];н;37;-;-;484587,84;4234398,31;;;;;
[4];н;38;-;-;484600,26;4234409,04;;;;;
[4];н;39;-;-;484611,77;4234429,3;;;;;
[4];;503;484687,84;4234744,88;л;л;;;;;
[4];;504;484649,18;4234674,25;л;л;;;;;
[4];;505;484591,68;4234569,78;л;л;;;;;
[4];;506;484550,66;4234502,94;л;л;;;;;
[4];;507;484552,24;4234491,87;л;л;;;;;
[4];;508;484563,93;4234476,67;л;л;;;;;
[4];;509;484591,52;4234453,99;л;л;;;;;
[4];;510;484617,53;4234432,31;484617,53;4234432,31;;;;;
[4];;511;484645,53;4234454,85;484645,53;4234454,85;;;;;
[4];;512;484664,59;4234453,07;484664,59;4234453,07;;;;;
[4];;513;484697,95;4234432,22;484697,95;4234432,22;;;;;
[4];;514;484703,31;4234410,78;484703,31;4234410,78;;;;;
[4];;515;484689,71;4234369,97;484689,71;4234369,97;;;;;
[4];;516;484734,1;4234337,31;484734,1;4234337,31;;;;;
[4];;517;484775,48;4234319,06;484775,48;4234319,06;;;;;
[4];;518;484799,12;4234316,51;484799,12;4234316,51;;;;;
[4];;519;484844,93;4234292,76;484844,93;4234292,76;;;;;
[4];;520;484849,84;4234325,01;484849,84;4234325,01;;;;;
[4];;521;484860,57;4234331,56;484860,57;4234331,56;;;;;
[4];;522;484879,15;4234313,47;484879,15;4234313,47;;;;;
[4];;523;484901,67;4234302,96;484901,67;4234302,96;;;;;
[4];;524;484916,56;4234313,68;484916,56;4234313,68;;;;;
[4];;525;484953,5;4234398,86;484953,5;4234398,86;;;;;
[4];;484;484976,73;4234430,42;484976,73;4234430,42;;;;;
;;;;;;;;;;;
[5];;8150;-;-;487218,71;4236738,45;;;;;-
[5];;8151;-;-;487226,31;4236780,23;;;;;-
[5];;8152;-;-;487230,5;4236805,1;;;;;-
[5];;8153;-;-;487227,4;4236805,04;;;;;-
[5];;8154;-;-;487168,3;4236769,28;;;;;-
[5];;8155;-;-;487159,7;4236768;;;;;-
[5];;8156;-;-;487149,04;4236717,04;;;;;-
[5];;8157;-;-;487159,22;4236721,18;;;;;-
[5];;8158;-;-;487174,82;4236730,1;;;;;-
[5];;8159;-;-;487193,28;4236738,05;;;;;-
[5];;8160;-;-;487207,29;4236740,6;;;;;-
[5];;8161;-;-;487216,52;4236735,67;;;;;-
[5];;8150;-;-;487218,71;4236738,45;;;;;-
;;;;;;;;;;;
[6];;8166;-;-;487190,06;4236581,74;;;;;-
[6];;8167;-;-;487194,38;4236602,62;;;;;-
[6];;8168;-;-;487202,49;4236646,79;;;;;-
[6];;8169;-;-;487206,58;4236674,84;;;;;-
[6];;8170;-;-;487197,35;4236670,62;;;;;-
[6];;8171;-;-;487171;4236673,72;;;;;-
[6];;8172;-;-;487167,66;4236663,99;;;;;-
[6];;8173;-;-;487189,78;4236648,88;;;;;-
[6];;8174;-;-;487198,71;4236629,39;;;;;-
[6];;8175;-;-;487196,3;4236615,46;;;;;-
[6];;8176;-;-;487172,27;4236611,62;;;;;-
[6];;8177;-;-;487164;4236607,48;;;;;-
[6];;8178;-;-;487161,45;4236596,02;;;;;-
[6];;8179;-;-;487165,91;4236588,36;;;;;-
[6];;8166;-;-;487190,06;4236581,74;;;;;-
;;;;;;;;;;;
[7];;8180;-;-;487181,45;4236539,14;;;;;-
[7];;8181;-;-;487185,69;4236560,51;;;;;-
[7];;8182;-;-;487187,14;4236567,64;;;;;-
[7];;8183;-;-;487178;4236557,79;;;;;-
[7];;8180;-;-;487181,45;4236539,14;;;;;-
