Контур;Префикс номера;Номер;Старый X;Старый Y;Новый X;Новый Y;Погрешность;Описание закрепления;Примечание
;;;;;;;;;
;;3;503855.99;2255158.14;503855.99;2255158.14;;;
;;4;503850.8;2255168.28;л;л;;;
;;5;503846;2255179.2;л;л;;;
;н;1;-;-;503845.2;2255179.69;0.01;;
;н;2;-;-;503833.96;2255175.04;0.01;;
;н;3;-;-;503826.39;2255171.34;0.01;;
;н;4;-;-;503828.91;2255165.93;0.01;;
;н;5;-;-;503829.04;2255163.49;0.01;;
;н;6;-;-;503827.91;2255162.13;0.01;;
;н;7;-;-;503825.86;2255160.56;0.01;;
;н;8;-;-;503826.36;2255159.39;0.01;;
;н;9;-;-;503822.35;2255157.52;0.01;;
;н;10;-;-;503822;2255158.26;0.01;;
;н;11;-;-;503810.89;2255153.03;0.01;;
;н;12;-;-;503811.53;2255151.68;0.01;;
;н;13;-;-;503812.2;2255150.28;0.01;;
;н;14;-;-;503817.2;2255140.61;0.01;;
;н;15;-;-;503818.38;2255139.85;0.01;;
;н;16;-;-;503825.03;2255142.99;0.01;;
;н;17;-;-;503834.46;2255148.55;0.01;;
;;7;503836.86;2255149.29;503836.80;2255149.40;;;
;;8;503848.29;2255154.73;503848.29;2255154.73;;;
