Контур;Префикс номера;Номер;Старый X;Старый Y;Новый X;Новый Y;Метод определения;Формула;Радиус;Погрешность;Описание закрепления
;;;;;;;;;;;
[1];н;1;;;403275,96;1134487,92;;;;0,10;626003000000
[1];н;2;;;403269,58;1134489,91;;;;0,10;626003000000
[1];н;3;;;403269,04;1134488,25;;;;0,10;626003000000
[1];н;4;;;403272,73;1134482,07;;;;0,10;626003000000
[1];н;5;;;403274,24;1134481,47;;;;0,10;626003000000
[1];н;6;;;403276,46;1134486,86;;;;0,10;626003000000
[1];н;1;;;403275,96;1134487,92;;;;0,10;626003000000
;;;;;;;;;;;
[2];н;7;;;403559,19;1134570,69;;;;0,10;626003000000
[2];н;8;;;403559,45;1134570,54;;;;0,10;626003000000
[2];н;9;;;403561,64;1134574,26;;;;0,10;626003000000
[2];н;10;;;403561,38;1134574,42;;;;0,10;626003000000
[2];н;7;;;403559,19;1134570,69;;;;0,10;626003000000
;;;;;;;;;;;
[3];н;11;;;403039,77;1134397,85;;;;0,10;626003000000
[3];н;12;;;403039,88;1134397,57;;;;0,10;626003000000
[3];н;13;;;403040,15;1134397,67;;;;0,10;626003000000
[3];н;14;;;403040,04;1134397,95;;;;0,10;626003000000
[3];н;11;;;403039,77;1134397,85;;;;0,10;626003000000
;;;;;;;;;;;
[4];н;15;;;403499,31;1134567,96;;;;0,10;626003000000
[4];н;16;;;403499,28;1134568,25;;;;0,10;626003000000
[4];н;17;;;403498,99;1134568,22;;;;0,10;626003000000
[4];н;18;;;403499,02;1134567,93;;;;0,10;626003000000
[4];н;15;;;403499,31;1134567,96;;;;0,10;626003000000
;;;;;;;;;;;
[5];н;19;;;403771,52;1134410,12;;;;0,10;626003000000
[5];н;20;;;403772,44;1134416,73;;;;0,10;626003000000
[5];н;21;;;403772,14;1134416,77;;;;0,10;626003000000
[5];н;22;;;403771,22;1134410,16;;;;0,10;626003000000
[5];н;19;;;403771,52;1134410,12;;;;0,10;626003000000
;;;;;;;;;;;
[6];н;23;;;403415,85;1134559,40;;;;0,10;626003000000
[6];н;24;;;403415,81;1134559,70;;;;0,10;626003000000
[6];н;25;;;403415,52;1134559,66;;;;0,10;626003000000
[6];н;26;;;403415,55;1134559,36;;;;0,10;626003000000
[6];н;23;;;403415,85;1134559,40;;;;0,10;626003000000
;;;;;;;;;;;
[7];н;27;;;403900,99;1134413,82;;;;0,10;626003000000
[7];н;28;;;403901,06;1134414,11;;;;0,10;626003000000
[7];н;29;;;403900,77;1134414,18;;;;0,10;626003000000
[7];н;30;;;403900,70;1134413,89;;;;0,10;626003000000
[7];н;27;;;403900,99;1134413,82;;;;0,10;626003000000
;;;;;;;;;;;
[8];н;31;;;403340,96;1134551,42;;;;0,10;626003000000
[8];н;32;;;403340,93;1134551,72;;;;0,10;626003000000
[8];н;33;;;403340,63;1134551,68;;;;0,10;626003000000
[8];н;34;;;403340,67;1134551,38;;;;0,10;626003000000
[8];н;31;;;403340,96;1134551,42;;;;0,10;626003000000
;;;;;;;;;;;
[9];н;35;;;403828,61;1134426,73;;;;0,10;626003000000
[9];н;36;;;403828,90;1134426,64;;;;0,10;626003000000
[9];н;37;;;403830,42;1134431,75;;;;0,10;626003000000
[9];н;38;;;403830,13;1134431,84;;;;0,10;626003000000
[9];н;35;;;403828,61;1134426,73;;;;0,10;626003000000
;;;;;;;;;;;
[10];н;39;;;403579,45;1134540,90;;;;0,10;626003000000
[10];н;40;;;403579,71;1134541,04;;;;0,10;626003000000
[10];н;41;;;403579,57;1134541,30;;;;0,10;626003000000
[10];н;42;;;403579,31;1134541,16;;;;0,10;626003000000
[10];н;39;;;403579,45;1134540,90;;;;0,10;626003000000
;;;;;;;;;;;
[11];н;43;;;403704,98;1134427,12;;;;0,10;626003000000
[11];н;44;;;403705,07;1134427,41;;;;0,10;626003000000
[11];н;45;;;403704,78;1134427,50;;;;0,10;626003000000
[11];н;46;;;403704,70;1134427,20;;;;0,10;626003000000
[11];н;43;;;403704,98;1134427,12;;;;0,10;626003000000
;;;;;;;;;;;
[12];н;47;;;403260,39;1134542,73;;;;0,10;626003000000
[12];н;48;;;403260,46;1134542,44;;;;0,10;626003000000
[12];н;49;;;403264,83;1134539,94;;;;0,10;626003000000
[12];н;50;;;403264,99;1134540,19;;;;0,10;626003000000
[12];н;51;;;403263,79;1134547,28;;;;0,10;626003000000
[12];н;52;;;403263,54;1134547,45;;;;0,10;626003000000
[12];н;47;;;403260,39;1134542,73;;;;0,10;626003000000
;;;;;;;;;;;
[13];н;53;;;403119,71;1134427,78;;;;0,10;626003000000
[13];н;54;;;403119,81;1134427,50;;;;0,10;626003000000
[13];н;55;;;403120,09;1134427,60;;;;0,10;626003000000
[13];н;56;;;403119,99;1134427,88;;;;0,10;626003000000
[13];н;53;;;403119,71;1134427,78;;;;0,10;626003000000
;;;;;;;;;;;
[14];н;57;;;403647,24;1134444,72;;;;0,10;626003000000
[14];н;58;;;403647,36;1134444,44;;;;0,10;626003000000
[14];н;59;;;403652,70;1134446,84;;;;0,10;626003000000
[14];н;60;;;403652,58;1134447,12;;;;0,10;626003000000
[14];н;57;;;403647,24;1134444,72;;;;0,10;626003000000
;;;;;;;;;;;
[15];н;61;;;403194,92;1134456,66;;;;0,10;626003000000
[15];н;62;;;403195,02;1134456,38;;;;0,10;626003000000
[15];н;63;;;403195,30;1134456,48;;;;0,10;626003000000
[15];н;64;;;403195,20;1134456,76;;;;0,10;626003000000
[15];н;61;;;403194,92;1134456,66;;;;0,10;626003000000
