Контур;Префикс номера;Номер;Старый X;Старый Y;Новый X;Новый Y;Погрешность;Описание закрепления;Примечание
;;;;;;;;;
[1];;1;;;2212327,63;447159,11;;;
[1];;2;;;2212329,95;447159,04;;;
[1];;3;;;2212338,04;447166,22;;;
[1];;4;;;2212361,52;447189,10;;;
[1];;5;;;2212368,51;447196,21;;;
[1];;6;;;2212472,18;447084,98;;;
[1];;7;;;2212472,19;447084,97;;;
[1];;8;;;2212437,50;447052,79;;;
[1];;9;;;2212336,33;447158,23;;;
[1];;1;;;2212327,63;447159,11;;;
;;;;;;;;;
[1.1];;10;;;2212438,41;447057,28;;;
[1.1];;11;;;2212464,55;447082,15;;;
[1.1];;12;;;2212440,29;447108,76;;;
[1.1];;13;;;2212414,15;447083,28;;;
[1.1];;10;;;2212438,41;447057,28;;;
