Контур;Префикс номера;Номер;Старый X;Старый Y;Новый X;Новый Y;Метод определения;Формула;Радиус;Погрешность;Описание закрепления
;;;;;;;;;;;
[1];н;1;;;-6070;570;;;;;
[1];н;2;;;-6650;1960;;;;;
[1];н;3;;;-7700;1480;;;;;
[1];н;4;;;-7440;40;;;;;
[1];н;5;;;-6580;-330;;;;;
[1];н;1;;;-6070;570;;;;;
;;;;;;;;;;;
[2];н;6;;;-6600;3860;;;;;
[2];н;7;;;-6950;3880;;;;;
[2];н;8;;;-6910;4570;;;;;
[2];н;9;;;-6540;4520;;;;;
[2];н;6;;;-6600;3860;;;;;
;;;;;;;;;;;
[2.1];н;10;;;-5930;4470;;;;;
[2.1];н;11;;;-6630;5440;;;;;
[2.1];н;12;;;-7630;4220;;;;;
[2.1];н;13;;;-6920;3030;;;;;
[2.1];н;10;;;-5930;4470;;;;;
