Контур;Префикс номера;Номер;Старый X;Старый Y;Новый X;Новый Y;Метод определения;Формула;Радиус;Погрешность;Описание закрепления
;;;;;;;;;;;
[1];;1;;;5894790,46;221711,07;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
[1];;2;;;5894790,97;221707,1;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
[1];;3;;;5894821,2;221463,46;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
[1];;4;;;5894799,94;221441,85;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
[1];;5;;;5894817,79;221198,88;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
[1];;6;;;5894576,83;221088,31;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
[1];;7;;;5894344,36;220993,28;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
[1];;8;;;5894171,1;220922,62;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
[1];;9;;;5894162,99;220909,54;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
[1];;10;;;5894157,93;220916,1;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
;;;;;;;;;;;
[1.1];;11;;;5894821,2;221463,46;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
[1.1];;12;;;5894900,79;221460,33;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
[1.1];;13;;;5894933,42;221475,46;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
[1.1];;14;;;5894939,1;221479,84;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
;;;;;;;;;;;
[1.2];;15;;;5894344,36;220993,28;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
[1.2];;16;;;5894350,04;220966,61;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
[1.2];;17;;;5894432,1;220974,69;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
[1.2];;18;;;5894437,92;220975,23;Метод спутниковых геодезических измерений;Mt = 0.1 с использованием програмного обеспечения Pinnacle;;0,1;
